src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,label,feature_92
10.151.79.45,10.131.166.171,505,80,2,2014,URG,6358.188,10.461,1133.162,4485.719,115.474,4719.603,2168.073,9718.553,573.989,2436.126,4896.28,7733.97,8685.524,2752.487,7951.324,3144.168,7670.951,5596.891,1283.322,2031.844,6193.166,1470.317,5417.271,4552.731,2799.601,6124.226,5101.725,4169.756,9283.47,8158.953,1300.317,1076.079,7660.382,2154.903,6768.149,5619.325,9518.415,3100.369,9122.164,2152.603,8887.655,1421.382,1758.01,9464.534,1481.183,3270.73,2995.523,3833.676,2654.983,3239.154,3243.66,4093.537,8924.657,6628.837,4660.291,9156.367,5816.711,4960.706,3606.385,3984.243,4534.868,7332.037,9642.172,3673.365,6086.918,9149.373,4644.691,4275.968,3782.834,4419.805,6452.927,6070.796,8749.51,3312.632,7790.148,6073.952,6185.571,7588.082,4794.445,2509.316,8697.222,7888.635,7838.872,1835.606,3697.716,616.059,9596.067,3550.067,6319.137,2280.816,2741.274,1,9016.611
10.71.164.69,10.136.157.58,64036,443,17,4180,PSH,5558.996,5793.116,8550.816,3236.958,3641.924,2765.024,4364.059,946.479,8670.046,5455.948,1012.235,612.562,8747.962,2073.457,3110.974,4854.075,8298.468,6280.131,9267.335,9131.032,3727.935,6834.983,5373.477,7762.767,3084.395,1815.07,7532.946,7619.515,8222.649,5908.932,9626.301,6397.927,2999.824,8311.793,9579.95,2248.214,3021.405,249.924,2714.573,8831.968,481.982,815.81,6621.586,3999.472,6509.232,2953.124,3899.477,9843.04,1180.801,1889.858,1343.446,4371.692,7061.066,5304.445,9616.161,1127.823,6872.363,6004.889,4239.35,7195.835,3621.119,4160.83,9838.772,6790.455,8176.892,3230.032,2402.03,2624.813,4710.459,3691.931,4155.371,1743.188,3994.046,68.077,8277.224,5594.324,7600.75,6826.759,1453.673,9596.196,2664.611,5382.882,799.861,4853.409,5124.356,122.957,2690.218,9968.135,1042.685,323.414,404.602,0,784.096
10.52.69.135,10.36.147.18,59025,123,2,4822,ACK,4651.271,8324.878,8749.177,797.038,9651.625,4237.782,1602.096,1424.975,2971.007,4159.009,1776.456,8300.847,650.055,5725.218,25.065,2823.314,2485.294,5540.821,5443.856,313.183,3354.733,2066.92,3381.036,1591.067,7748.109,647.417,8019.169,9200.466,7651.337,5614.655,8140.569,1529.854,1513.078,3522.252,4051.939,446.95,5141.623,3356.891,8196.226,870.556,9722.658,2490.278,1622.975,7523.821,917.733,5697.132,6840.809,4646.491,8385.827,3299.027,8313.439,2678.453,883.544,6252.536,8839.262,2145.001,9275.719,6097.153,1258.736,5018.695,8263.114,2392.019,4751.398,8620.814,2229.123,9482.335,2586.37,7047.539,8764.02,7312.445,7286.717,5406.033,4299.244,544.616,6989.811,9938.38,5406.595,2003.137,9969.509,6937.561,3890.602,6509.679,7127.41,6316.076,2496.146,902.702,1772.721,1422.123,1968.393,8768.323,3736.553,0,5682.82
10.177.102.170,10.254.65.114,12557,23,2,4819,ACK,119.763,1866.223,6485.592,8138.285,5953.068,5714.855,8857.585,2800.638,7980.422,31.706,1257.533,2532.529,2922.761,3020.604,5732.284,6925.33,8672.76,7411.401,7798.789,2922.683,3004.929,9435.025,9857.63,9984.647,841.577,6791.399,2051.571,7976.89,6450.127,7633.424,4703.296,8787.57,66.455,408.683,554.966,3033.201,1233.587,2266.879,3169.507,7115.504,7586.096,9975.721,520.147,3738.876,6190.135,3245.563,6626.161,3926.216,2388.869,551.548,1559.934,4095.776,4793.155,9563.122,7545.694,1245.584,2528.041,126.59,3969.466,7243.171,7619.113,3145.095,4707.842,4724.943,8385.584,6812.692,754.209,7686.864,7189.077,1858.93,8255.007,6683.64,8353.496,2591.007,9747.554,8629.878,2467.191,5100.894,5370.527,6623.32,874.524,622.072,1763.81,612.73,6444.249,6609.834,7954.168,9806.669,1634.618,4880.795,9290.715,0,6426.524
10.7.82.148,10.252.217.54,5921,20,6,2541,FIN,9771.345,8663.71,4962.452,559.258,8583.87,8865.567,7744.512,8076.812,5865.697,863.632,5912.855,2652.127,1961.196,7315.021,3543.052,9982.741,3139.774,2358.634,6131.918,4554.359,2265.948,330.076,1995.646,6639.9,3368.718,625.395,7279.103,5926.283,3767.005,9811.495,562.23,6099.931,4033.959,7548.216,1855.937,4459.759,1010.062,7983.298,8943.981,9466.936,3945.733,6300.047,3908.725,5702.647,4945.301,8756.839,8786.147,2599.25,2793.823,3404.961,1605.913,8392.882,3086.865,3280.267,6068.094,5126.433,3099.424,2444.799,9638.775,4574.735,6292.11,8186.215,4718.984,8525.202,2943.512,1168.519,9437.097,3053.876,9182.747,5422.863,7669.451,7400.936,5621.405,4952.363,6250.404,5670.273,6912.651,5470.308,719.554,1873.535,1366.581,4363.349,9358.052,6680.456,9924.186,5579.958,370.461,8598.27,7786.304,1478.328,3527.226,0,89.328
10.121.197.135,10.143.252.122,55698,80,17,4940,PSH,8838.066,4995.096,5837.006,8462.332,475.693,6735.946,3581.63,2260.947,7861.115,7665.778,9085.044,5925.325,3854.869,2423.329,6974.141,4470.849,7904.927,6424.605,6693.117,7341.879,239.699,5376.377,6618.085,321.532,7077.125,3353.706,3984.135,5651.65,3666.393,9780.29,7908.851,6852.674,4275.969,5141.863,5546.192,4357.027,6003.072,8468.833,7533.994,8257.003,2505.281,7336.591,5592.173,2222.183,2281.983,3272.241,3093.28,1608.766,1863.11,9938.897,4040.982,5041.662,1459.111,8992.434,4925.011,246.133,4846.54,6919.999,303.551,7119.832,6113.566,2788.103,5175.407,9042.891,3227.739,4410.015,7563.501,5042.75,7097.081,6724.342,4583.17,768.588,619.061,6561.647,3943.133,3469.016,909.498,7013.362,836.376,4481.738,1355.078,1726.09,9386.414,367.726,5788.389,568.582,233.159,6451.274,1284.798,616.206,6015.425,1,4252.594
10.171.96.172,10.241.158.245,35518,25,17,3365,PSH,7292.664,4552.8,8060.411,9262.326,7121.517,1552.404,3225.406,1211.316,5070.45,1924.336,1171.308,147.799,2303.903,4432.579,8338.862,1471.973,2516.858,2314.371,1722.984,3353.889,4733.485,7006.578,8801.756,6205.262,1893.254,68.68,6541.597,1897.888,8935.4,3850.723,7783.754,4156.026,8129.336,2339.701,248.461,6262.414,4137.333,5259.024,6845.773,4076.398,2904.413,5041.017,1371.707,1622.788,8595.281,7276.887,5521.789,6832.685,4995.904,2261.347,2206.557,7164.538,5816.105,3874.836,6351.488,5119.603,2182.764,8804.288,7243.775,6070.999,433.783,6157.571,5356.742,984.293,6313.503,60.415,2114.96,2142.742,7522.127,6852.374,7827.779,2397.651,6496.446,9100.064,2791.802,8872.246,7618.918,4696.873,7913.731,1583.375,8350.91,5773.238,3633.981,7918.179,3953.447,1387.787,722.374,7176.905,8317.086,518.38,9993.803,1,8315.387
10.77.127.150,10.35.123.68,17168,22,6,3921,ACK,7628.288,9379.407,2828.69,4119.766,3037.369,9211.502,7852.185,7498.149,4771.857,4456.811,6917.189,1627.459,9605.232,191.389,3357.092,7722.153,9782.553,9735.554,646.737,7777.902,1177.837,1016.37,6627.125,9736.115,4902.223,5315.922,3011.131,702.608,5428.27,8567.747,7177.029,7416.746,600.464,3058.474,7654.542,6434.088,1135.882,5509.562,3113.648,4783.67,4237.553,6545.216,5993.327,1141.995,124.534,4587.484,4702.895,4818.278,3742.284,8174.685,934.562,9919.078,6119.845,176.025,3780.507,3950.014,6524.736,4136.037,2827.113,5740.865,6373.463,407.029,9462.596,9336.943,6505.034,3888.142,2237.584,3866.97,9792.532,7813.524,8255.958,5760.01,390.16,6535.542,3522.636,3548.774,2064.036,81.938,3652.489,4245.722,6295.094,3089.193,1125.404,4177.648,9261.387,8324.867,4838.65,659.909,1013.664,7623.432,8059.739,1,8833.315
10.212.117.230,10.208.21.171,45236,143,6,1827,UDP,5702.521,7057.508,2618.427,4755.784,7846.067,4768.216,1016.083,8657.251,1020.104,6860.122,8445.669,1018.243,8003.383,4141.147,414.772,7360.44,5082.454,8146.758,5321.19,9575.502,2518.577,3797.896,977.03,2333.815,9623.954,2481.574,976.286,3331.929,6347.838,5968.433,2885.173,9585.199,9617.926,4177.687,8945.447,3568.15,6327.384,1441.816,217.704,5857.547,4844.875,4295.047,1572.876,995.565,2078.664,220.285,9576.899,5837.482,3157.585,3086.445,5853.471,8157.196,8480.596,4999.993,3767.093,1877.659,7088.902,5452.716,661.907,2852.489,2079.215,5791.828,5400.181,4143.783,1868.415,8972.895,2668.958,958.163,9410.75,7477.295,6551.102,8349.816,3756.432,9918.954,8869.492,3935.371,3305.324,7651.039,6020.823,7219.298,1763.484,9447.271,5140.63,1879.538,2772.406,4973.76,1138.066,5005.258,479.29,1240.014,997.014,1,6063.278
10.65.134.62,10.178.176.214,16404,445,2,2271,ACK,9444.846,3474.332,6522.766,185.947,6307.486,1469.925,6299.071,1864.953,3038.404,8116.673,3773.659,5140.48,1243.635,7633.243,9210.266,497.328,8707.706,2373.996,6340.991,504.334,4085.648,308.475,2201.686,4732.171,5246.621,2052.093,1549.96,8290.914,1853.231,161.528,8815.775,1936.563,4149.434,2679.917,361.754,1857.026,5817.388,5940.985,5646.637,7858.583,6557.231,7941.45,4892.495,1701.094,1233.031,6623.914,6242.191,1883.809,1471.499,2000.213,1611.352,6996.079,5640.001,9038.741,7053.283,6610.19,8632.619,3279.844,8258.741,989.896,4051.624,190.448,7646.145,8188.783,336.009,3072.437,1500.321,765.298,3544.633,2333.709,3807.884,5896.346,4725.786,1432.35,5208.312,8499.564,6834.087,9937.021,9646.518,5692.325,8444.651,6733.353,7803.231,2142.548,9036.169,7588.24,1477.217,5181.781,9570.808,8592.343,968.253,0,3353.478
