src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,label
10.145.230.95,10.185.172.169,12377,53,17,1366,RST,0
10.99.95.40,10.223.132.73,41132,3389,17,2938,RST,0
10.142.73.237,10.222.14.151,29378,8080,17,4339,URG,0
10.175.212.75,10.165.146.120,40297,20,17,829,PSH,0
10.98.252.64,10.30.222.166,24294,3389,17,3010,PSH,0
10.201.183.49,10.214.144.201,7977,445,6,812,SYN,0
10.188.117.180,10.242.197.195,42853,20,6,3438,URG,0
10.45.66.241,10.104.198.122,51410,110,6,3470,UDP,0
10.15.140.112,10.177.171.9,10930,22,17,2923,SYN,0
10.101.132.127,10.199.82.93,7964,21,6,4404,PSH,0
10.245.58.211,10.141.248.253,63000,443,17,2569,FIN,0
10.78.162.48,10.135.37.59,42446,21,6,2530,FIN,1
10.234.94.152,10.105.145.233,28643,25,6,2522,RST,1
10.70.113.204,10.143.212.84,22736,80,17,2294,URG,0
10.20.106.66,10.106.116.241,16569,20,17,4548,RST,0
10.217.5.53,10.157.248.208,5332,21,6,4065,SYN,1
10.114.142.46,10.170.118.253,23722,53,6,2945,RST,0
10.122.90.190,10.180.137.4,38142,23,6,3125,FIN,0
10.167.232.245,10.184.211.211,55475,80,17,4408,UDP,0
10.119.112.128,10.250.199.107,46653,110,17,3187,URG,1
10.220.50.103,10.138.135.76,18991,143,6,4378,SYN,0
10.6.169.253,10.8.195.65,37699,20,6,3766,UDP,1
10.139.42.96,10.96.249.29,28639,443,17,2094,RST,1
10.220.95.77,10.149.94.90,1036,8080,17,1270,URG,0
10.155.186.86,10.251.245.135,35286,53,17,3156,ACK,1
10.192.59.115,10.49.10.8,58877,8080,17,2181,ACK,0
10.216.79.26,10.124.102.55,32431,143,6,4022,PSH,1
10.230.0.237,10.117.218.7,64888,53,17,3592,FIN,0
10.161.74.103,10.179.167.168,35505,443,6,4013,ACK,0
10.138.81.213,10.82.5.45,29543,80,6,4073,FIN,0
10.211.252.116,10.149.127.44,62897,3389,17,3882,FIN,1
10.7.83.143,10.4.5.28,51490,110,17,107,PSH,0
10.50.69.16,10.130.65.204,17668,21,6,49,UDP,1
10.39.242.24,10.177.51.212,25885,110,6,4693,UDP,1
10.38.209.98,10.248.236.237,21879,445,17,2725,UDP,0
10.92.3.228,10.32.169.74,57668,20,17,4309,SYN,1
10.255.176.66,10.225.26.228,28056,123,17,979,UDP,1
10.142.136.181,10.87.216.242,15859,20,17,3995,UDP,0
10.51.193.43,10.190.17.212,7603,123,17,3744,FIN,1
10.57.168.213,10.242.186.40,62584,21,17,373,SYN,0
10.239.227.33,10.18.124.121,26523,20,6,1570,SYN,0
10.65.221.151,10.22.151.126,57869,443,17,4707,ACK,1
10.18.37.196,10.179.197.44,6748,8080,6,2323,PSH,0
10.193.141.124,10.57.201.151,64495,22,17,4914,RST,0
10.213.133.179,10.98.106.89,15470,8080,17,1701,URG,1
10.85.207.69,10.206.102.114,53734,445,6,1130,FIN,1
10.132.0.212,10.33.226.172,35863,445,17,595,ACK,0
10.122.195.129,10.194.227.155,43840,123,6,477,FIN,0
10.15.119.76,10.57.85.22,27350,123,6,1372,PSH,1
10.40.113.124,10.21.75.83,57217,80,17,3558,URG,0
10.187.89.172,10.11.62.182,50391,8080,6,174,SYN,0
10.69.241.239,10.181.253.134,13004,80,17,4340,URG,1
10.139.67.171,10.150.250.6,46407,445,17,72,URG,1
10.74.178.199,10.35.13.246,13756,3389,6,3520,FIN,0
10.27.172.180,10.208.84.225,34812,110,6,1397,RST,0
10.226.215.127,10.30.32.100,31451,143,6,526,FIN,0
10.250.109.145,10.172.217.47,37882,143,6,4423,FIN,0
10.48.145.130,10.236.62.86,19307,21,6,2777,SYN,1
10.192.11.10,10.87.122.202,7158,80,17,406,FIN,0
10.133.94.131,10.43.7.60,12274,445,6,3965,UDP,0
10.107.65.78,10.33.248.43,31573,22,17,4260,UDP,0
10.147.198.224,10.10.16.142,26431,80,6,4890,SYN,0
10.37.208.195,10.52.92.53,30953,445,6,1458,PSH,0
10.58.59.106,10.146.116.224,21053,22,17,430,URG,0
10.33.149.47,10.251.98.79,20403,25,6,770,ACK,0
10.58.184.167,10.175.103.99,1271,443,17,2717,RST,0
10.90.255.225,10.192.112.246,34513,123,17,1616,UDP,0
10.0.97.110,10.51.157.243,8979,143,17,2652,UDP,0
10.40.28.76,10.105.3.204,15715,445,6,3815,UDP,0
10.220.187.252,10.240.76.9,28128,53,6,515,FIN,0
10.77.226.174,10.252.246.34,51770,22,17,4897,PSH,0
10.39.38.145,10.73.204.208,50716,23,6,3055,PSH,0
10.187.184.147,10.118.65.65,11924,23,17,2903,URG,0
10.4.253.215,10.199.75.199,38165,80,6,1951,PSH,0
